,stockcode,trade_date,sentiment_score,z_score
89,GOOGL,2018-12-28,0.5799666666666666,1.1271939566975988
90,GOOGL,2018-12-27,0.33480000000000004,-0.7867577312217178
91,GOOGL,2018-12-26,0.44742,0.09243698975777939
92,GOOGL,2018-12-24,0.5092883333333333,0.5754267967411445
93,GOOGL,2018-12-21,0.51474,0.6179865246213895
94,GOOGL,2018-12-20,0.3807933333333334,-0.4276998741189205
95,GOOGL,2018-12-19,0.6522733333333334,1.691673086736292
96,GOOGL,2018-12-18,0.4670300000000001,0.24552710233465794
97,GOOGL,2018-12-17,0.5964066666666666,1.2555367129833646
98,GOOGL,2018-12-14,0.20054500000000006,-1.834851207203803
99,GOOGL,2018-12-13,0.6722516666666667,1.8476386807749652
100,GOOGL,2018-12-12,0.4118850000000001,-0.1849754095496823
