web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548238462-3144","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@JLyonsFundMgmt","Dana Lyons","ChOTD-11/21/18 3 Years Later - FANG vs. Original 4-Horsemen: Comparison Still Tracking (…bad news for investors?) $FB $AMZN $NFLX $GOOGLpic.twitter.com/2wocXjkvwJ","7","8","29","1542807650000","5:40 AM - 21 Nov 2018","/JLyonsFundMgmt/status/1065238608628592645"
"1548238462-2539","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@RampedDaytrader","Ramp Up Trading","+99 Points! Kickin the week off Right! @RockSolidTrader & @cml41987 
 Great Day to Trade!
$AMZN +62
$TSLA +4.50
$SPY +3.50
$PETS +1.70
$BIDU + 4.80
$GS +3
$FB +3.25
$CGC +.63
$AAPL +2.75 Mic
$TWTR +1.07 Mic
$NFLX +12 Mic
$FDX Stopped
See Comments for Chartspic.twitter.com/qc0XzDDo7G","2","1","12","1548198389000","3:06 PM - 22 Jan 2019","/RampedDaytrader/status/1087849008058548227"
"1548238462-3247","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@stocktrader300","Sheldon Cooper","$AMZN and $NFLX both up almost 10% just from the lows on Monday!!","1","5","28","1541620954000","12:02 PM - 7 Nov 2018","/stocktrader300/status/1060261244333187072"
"1548238462-3347","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@CNBCClosingBell","CNBC's Closing Bell","The Octobox is back in full force for earnings coverage!
@dee_bosa @CNBCJosh @jonfortt @katerogers @megtirrell @seemacnbc @JBoorstin @JackieDeAngelis 

$AMZN $GOOGL $INTC $CMG $GILD $EXPE $SNAP $AKSpic.twitter.com/zFwnPx1TIf","5","8","34","1540497892000","1:04 PM - 25 Oct 2018","/CNBCClosingBell/status/1055550782278381568"
"1548238462-3032","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@option_snipper","Option_Sniper","These $amzn 1580p now at 34 from 17, 1600p now at 44 from 22 both doubled!! Huge win! https://twitter.com/option_snipper/status/1072138736790581249 …","13","3","72","1544458899000","8:21 AM - 10 Dec 2018","/option_snipper/status/1072164449887404033"
"1548238462-3235","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@tradetb","TT","Okay, I'm done spamming your feed. Going into next week I'm

Short: $NFLX (2/4 left) $AMZN (3/4 left) $AMD (3/4 left) $INTC 
Long: NONE

MAIN WL: $GOOGL $SQ $ZEN $DIS $JWN $MPC $JPM $FEYE $ABBV $TWTR $PBR","5","3","24","1541977135000","2:58 PM - 11 Nov 2018","/tradetb/status/1061755176577589251"
"1548238462-2706","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@mikeo188","mikeo188","Come on algos we DESERVE $AMZN 1725 pic.twitter.com/xPpLZAsmLC","","","1","1547661067000","9:51 AM - 16 Jan 2019","/mikeo188/status/1085595316454412288"
"1548238462-2973","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@option_snipper","Option_Sniper","Gave you all the $amzn levels. Reached 1432.69 as lowest today so yes 1433 supported almost exactly as predicted. Tmr another challenge. Up 10 bucks after mkt but if tmr fade below 1455, may see lower low to 1409 fast. https://twitter.com/option_snipper/status/1075600578456285184 …","6","7","101","1545342730000","1:52 PM - 20 Dec 2018","/option_snipper/status/1075871504695525377"
"1548238462-3364","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@jowens510","Jeremy C. Owens","Well guys, time for the biggest rush of tech earnings of the season, starting in less than an hour and running through tomorrow afternoon.

Just some of the cos reporting in the next 25ish hours: $AMZN $TSLA $GOOG $INTC $AMD $TWTR $MSFT $SNAP $T $CMCSA $EXPE","2","11","18","1540408604000","12:16 PM - 24 Oct 2018","/jowens510/status/1055176280117698560"
"1548238462-3097","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@KincoraCapital","Sam Quirke","$VXX has a month to lose 30% or it'll have its first green year since inception $VIX $AMZN $NFLX $SNAPpic.twitter.com/YlsCQAjz9U","1","9","15","1543454146000","5:15 PM - 28 Nov 2018","/KincoraCapital/status/1067950212591874048"
"1548238462-2492","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@TraderFromKS","SomeTraderFromKS","$AMZN finally giving the first sign of a short setup.  Currently only an aggressive short but should have conservative signal soon after. pic.twitter.com/WffA7pj795","","","1","1548175239000","8:40 AM - 22 Jan 2019","/TraderFromKS/status/1087751909895794688"
"1548238462-2705","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@xanthos_027","@xanthos_027","#sp500
$FISV $SYMC $CHKP $SWKS $CA $STX $CMCSA $SBUX $PCLN $NFLX $CHTR $FOXA $ROST $DISH $MAT $BBBY $VIAB $QVCA $NCLH $TSCO $LVNTA $ILMN $SHPG $COST $MNST $MDLZ $WFM $SBAC $VOD $TMUS $FAST $DAL $AAL $HSIC $AMZN $TSLA $WMT $TGT $NVDApic.twitter.com/2SVFDVI4jr","3","59","103","1547393069000","7:24 AM - 13 Jan 2019","/xanthos_027/status/1084471253480673280"
"1548238462-2981","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@WolfOfWeedST","Jason Spatafora","Anyone else think that this market is a paranoid schizophrenic $spy $qqq $amzn $acb $djia #dowjones pic.twitter.com/ycGW55sByW","14","4","79","1545163988000","12:13 PM - 18 Dec 2018","/WolfOfWeedST/status/1075121809853427715"
"1548238462-2582","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@yuriymatso","Yuriy Matso","$AMZN Big boys are having fun! $3.7m bullish bet via 1 Feb calls. If the stock doesn't move higher in the next 2 weeks, the trader is screwed. Notice a bull flag ;) pic.twitter.com/vZBZZyPEtt","1","6","16","1547592113000","2:41 PM - 15 Jan 2019","/yuriymatso/status/1085306102294577152"
"1548238462-3395","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@BrodmannOTC","Brodmann","$BEMG Bottom Play set, with 75% of Common shares REDUCED now. Next PR will make it fly with that many shares off the table. Keep watch this week and next. 

$tlry $vxrt $iam $saex $nept $carv $hdp $recn $ntgn $dtea $cron $cgc $amlh $mlhc $bdci $etst $hd $car $amzn $applpic.twitter.com/wuRFw5gsQa","","11","17","1539828617000","7:10 PM - 17 Oct 2018","/BrodmannOTC/status/1052743640961802242"
"1548238462-2439","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Fongern_FX","Marc-André Fongern","...three of four largest publicly-traded companies on the planet set to report Q4 earnings next week (AAPL on Tuesday, MSFT on Wednesday, AMZN on Thursday), volatility may be here to stay. @MWellerFX $DJIA $SPX $NDX $VIX $AAPL $MSFT $AMZN pic.twitter.com/7OdWHSOGSx","","1","3","1548186201000","11:43 AM - 22 Jan 2019","/Fongern_FX/status/1087797888107851777"
"1548238462-2902","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DrivingTheDay","DrivingTheDay","News Review: The 12 Questions for 2018 Answered https://www.domainmondo.com/2018/12/news-review-six-questions-for-2019.html … #domains #DomainNames #trademarks #NetGov #privacy #CyberSecurity #DataProtection #IGF2019 #GDPR #ICANN $AMZN #Amazon #Afilias $VRSN #Verisign #investorspic.twitter.com/FXEdJvYVd9","","29","28","1546300112000","3:48 PM - 31 Dec 2018","/DrivingTheDay/status/1079887057852469248"
"1548238462-2587","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@triplehstocks","triplehstocks","The MidCap Growth 100 Is Beating the Nasdaq 100. $PXMG $QQQ $SQ $CMG $ULTA $EXEL $PAYC $AMZN $MSFT $AAPL $GOOG $FB 

https://www.triplehstocks.com/2019/01/22/midcap-growth-100-vs-the-nasdaq-100/ …pic.twitter.com/tnqf2MvR4e","","","","1548175235000","8:40 AM - 22 Jan 2019","/triplehstocks/status/1087751894011990017"
"1548238462-2614","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@optionslion8","TechSmith ($SPX, $AMZN)","$AMZN weekly channel breakout but, right at the resistance. More chop to downside next week. $QQQ $ES_F $NQ_Fpic.twitter.com/RDbdWuq7M2","1","2","4","1547916085000","8:41 AM - 19 Jan 2019","/optionslion8/status/1086664939643850752"
"1548238462-2699","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@MitchellKWarren","Mitchell Warren","Bull flag pattern now resolving to the upside in Amazon today. Look for a pre-earnings run up to back to the Nov/Dec highs near $1780 in the coming weeks. $AMZN pic.twitter.com/Z8url3WNMB","","4","4","1547599149000","4:39 PM - 15 Jan 2019","/MitchellKWarren/status/1085335612280979456"
"1548238462-2634","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@RiebenFinancial","Rieben Financial","$FB $AMZN $NFLX FAANG took the market down. Now it can drag it back up... $SPY $QQQpic.twitter.com/AiwoTcLxhA","1","1","2","1547822192000","6:36 AM - 18 Jan 2019","/RiebenFinancial/status/1086271123136892928"
"1548238462-3111","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@bostonchaahhts","BostonCharts","My fav swing setup is when multiple time frames align (1hr/65min & 4hr) with:
- price re-testing major support level
- price extended to the down side (mean reversion likely)
- bullish RSI divergence
- call flow (optional)

That was $AMZN recently pic.twitter.com/a5VmcJvEv4","1","6","31","1543332380000","7:26 AM - 27 Nov 2018","/bostonchaahhts/status/1067439488388001792"
"1548238462-2984","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Sandro_power","PowerTriggerTrade","$AMZN $SPY $BA $AAPL the problem with most option traders is they never are able to hold for the gains of their plans. This means their system lacks key rules only looking to make gains but not for the right reasons, study my youtube channel and witness super plans/gains instead.","6","61","68","1545141753000","6:02 AM - 18 Dec 2018","/Sandro_power/status/1075028546236674052"
